epoch,policy_loss_epoch,policy_loss_step,step,total_loss_epoch,total_loss_step,value_loss_epoch,value_loss_step
0,,6.216332912445068,49,,6.312289237976074,,0.09595638513565063
0,,5.3945817947387695,99,,5.5419745445251465,,0.14739269018173218
0,,4.928966522216797,149,,5.039384365081787,,0.11041788756847382
0,,4.573978424072266,199,,4.6766533851623535,,0.10267481952905655
0,5.491260051727295,,223,5.599294185638428,,0.10803572833538055,
1,,4.599184989929199,249,,4.784607410430908,,0.18542242050170898
1,,4.332472324371338,299,,4.413454532623291,,0.08098205924034119
1,,4.26279354095459,349,,4.3174943923950195,,0.05470062419772148
1,,4.193224906921387,399,,4.220096588134766,,0.02687162160873413
1,4.310194969177246,,447,4.374135971069336,,0.06394165009260178,
2,,4.146561622619629,449,,4.180027008056641,,0.03346526250243187
2,,4.134669303894043,499,,4.1754631996154785,,0.04079383239150047
2,,4.079924583435059,549,,4.118395805358887,,0.03847140446305275
2,,4.104371070861816,599,,4.134889602661133,,0.03051839955151081
2,,4.1122517585754395,649,,4.12996244430542,,0.01771073043346405
2,4.091993808746338,,671,4.127024173736572,,0.03503059223294258,
3,,3.9206156730651855,699,,3.9421281814575195,,0.021512620151042938
3,,4.104351043701172,749,,4.140528202056885,,0.036177072674036026
3,,4.019338130950928,799,,4.051177024841309,,0.0318390429019928
3,,3.916701555252075,849,,3.9506728649139404,,0.03397122770547867
3,3.9957432746887207,,895,4.019036769866943,,0.023295588791370392,
4,,4.026994705200195,899,,4.041457653045654,,0.014463182538747787
4,,4.005725860595703,949,,4.02772855758667,,0.022002890706062317
4,,3.8632211685180664,999,,3.892591953277588,,0.0293707475066185
4,,3.9005775451660156,1049,,3.9113738536834717,,0.010796267539262772
4,,3.954684019088745,1099,,3.968363046646118,,0.013678924180567265
4,3.938912868499756,,1119,3.9568400382995605,,0.017926450818777084,
5,,3.884680986404419,1149,,3.898987293243408,,0.014306244440376759
5,,4.007012367248535,1199,,4.017211437225342,,0.010199250653386116
5,,3.867981433868408,1249,,3.875945568084717,,0.007964094169437885
5,,3.8406434059143066,1299,,3.8587915897369385,,0.01814810000360012
5,3.9033069610595703,,1343,3.917947292327881,,0.014638448134064674,
6,,3.944337844848633,1349,,3.963064193725586,,0.01872638612985611
6,,3.912929058074951,1399,,3.9210097789764404,,0.008080733940005302
6,,3.8919756412506104,1449,,3.9008657932281494,,0.00889019574970007
6,,3.913621187210083,1499,,3.921250820159912,,0.007629746571183205
6,,3.829120635986328,1549,,3.846363067626953,,0.017242347821593285
6,3.8794877529144287,,1567,3.892624616622925,,0.013134021311998367,
7,,3.8456270694732666,1599,,3.850797414779663,,0.005170329473912716
7,,3.8699398040771484,1649,,3.878818988800049,,0.00887918658554554
7,,3.8469090461730957,1699,,3.876734733581543,,0.029825733974575996
7,,3.895094156265259,1749,,3.9126648902893066,,0.01757066138088703
7,3.8570849895477295,,1791,3.8679699897766113,,0.01088549941778183,
8,,3.713735580444336,1799,,3.7184019088745117,,0.0046663954854011536
8,,3.827446222305298,1849,,3.83518123626709,,0.007735126186162233
8,,3.8076910972595215,1899,,3.8120248317718506,,0.004333628341555595
8,,3.9266867637634277,1949,,3.9303274154663086,,0.0036406652070581913
8,,3.897010326385498,1999,,3.9065778255462646,,0.00956746842712164
8,3.840707302093506,,2015,3.8502163887023926,,0.00950787216424942,
9,,3.688054323196411,2049,,3.6927802562713623,,0.004725963808596134
9,,3.812596321105957,2099,,3.8176395893096924,,0.005043236538767815
9,,3.8431148529052734,2149,,3.852444887161255,,0.009329920634627342
9,,3.7727322578430176,2199,,3.7782130241394043,,0.005480826832354069
9,3.8274309635162354,,2239,3.8361828327178955,,0.0087527334690094,
