epoch,policy_loss_epoch,policy_loss_step,step,total_loss_epoch,total_loss_step,value_loss_epoch,value_loss_step
0,0.0,,39,0.0007269271300174296,,0.0007269271300174296,
1,,-0.0,49,,4.337595782999415e-06,,4.337595782999415e-06
1,0.0,,79,3.170708851030213e-06,,3.170708851030213e-06,
2,,-0.0,99,,9.551901314353017e-08,,9.551901314353017e-08
2,0.0,,119,1.4046153751223756e-07,,1.4046153751223756e-07,
3,,-0.0,149,,3.229990142017414e-08,,3.229990142017414e-08
3,0.0,,159,1.5241266737575643e-07,,1.5241266737575643e-07,
4,,-0.0,199,,1.0689881264625e-06,,1.0689881264625e-06
4,0.0,,199,1.69681044326353e-07,,1.69681044326353e-07,
